_date, average_price , total_volume ,_4046,_4225,_4770 ,total_bags,type,year,geography
14/03/2021 0:00,1.19,"3,958.16",393.14,3556.95,8.06,83428.64,organic,2021,Baltimore/Washington
21/03/2021 0:00,1.23,"504,521.64",227163.06,273978.69,3379.89,374852.38,conventional,2021,Baltimore/Washington
21/03/2021 0:00,1.14,"4,059.02",400.47,3650.5,8.06,86749.86,organic,2021,Baltimore/Washington
28/03/2021 0:00,1.34,"480,172.42",219138.13,258371.16,2663.12,414594.03,conventional,2021,Baltimore/Washington
28/03/2021 0:00,1.24,"3,977.17",462.33,3511.38,3.46,84125.83,organic,2021,Baltimore/Washington
04/04/2021 0:00,1.32,"485,935.72",208030.31,275204.09,2701.32,385446.01,conventional,2021,Baltimore/Washington
04/04/2021 0:00,1.25,"3,692.21",417.82,3259.45,14.95,87939.4,organic,2021,Baltimore/Washington
11/04/2021 0:00,1.41,"473,361.80",202372.75,268401.66,2587.39,393902.56,conventional,2021,Baltimore/Washington
11/04/2021 0:00,1.23,"3,859.91",422.28,3428.44,9.2,93306.85,organic,2021,Baltimore/Washington
18/04/2021 0:00,1.4,"511,886.81",229380.28,279959.75,2546.79,399351.7,conventional,2021,Baltimore/Washington
18/04/2021 0:00,1.22,"4,227.19",430.07,3782.19,14.93,96218.09,organic,2021,Baltimore/Washington
25/04/2021 0:00,1.39,"468,169.78",202974.91,262680.37,2514.5,425159.44,conventional,2021,Baltimore/Washington
25/04/2021 0:00,1.25,"4,062.47",551.4,3506.47,4.59,92651.33,organic,2021,Baltimore/Washington
02/05/2021 0:00,1.3,"553,445.79",233989.84,314392.55,5063.4,396916.19,conventional,2021,Baltimore/Washington
02/05/2021 0:00,1.22,"3,761.57",491.61,3258.47,11.48,94869.87,organic,2021,Baltimore/Washington
09/05/2021 0:00,1.18,"582,280.85",267749.09,311556.98,2974.78,407345.57,conventional,2021,Baltimore/Washington
09/05/2021 0:00,1.28,"4,296.16",429.36,3857.59,9.2,85737.51,organic,2021,Baltimore/Washington
16/05/2021 0:00,1.43,"461,131.23",205240.83,252937.76,2952.64,369388.72,conventional,2021,Baltimore/Washington
16/05/2021 0:00,1.26,"4,395.22",532.89,3856.58,5.76,83812,organic,2021,Baltimore/Washington
